,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE_Duplicate,BEDS_Duplicate,BATHS_Duplicate,SQUARE FEET_Duplicate,YEAR BUILT_Duplicate,PRICE_ESTIMATE
303,MLS Listing,,Condo/Co-op,811 S Lytle St #508,Chicago,IL,60607,343000,2.0,2.0,Columbus on the Park,1200.0,,2000.0,2,286.0,612.0,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/811-S-Lytle-St-60607/unit-508/home/12787943,MRED,11266884,N,Y,41.8715311,-87.6575342,343000,2.0,2.0,1200.0,2000.0,448099.6919589378
305,MLS Listing,,Condo/Co-op,1700 E 56th St #304,Chicago,IL,60637,127000,1.0,1.0,CHI - Hyde Park,756.0,,1970.0,2,168.0,592.0,Active,,,http://www.redfin.com/IL/Chicago/1700-E-56th-St-60637/unit-304/home/13946281,MRED,11266871,N,Y,41.7938289,-87.5832152,127000,1.0,1.0,756.0,1970.0,171109.17362644523
306,MLS Listing,,Single Family Residential,4826 W Hubbard St,Chicago,IL,60644,179900,4.0,2.0,CHI - Austin,1344.0,,1905.0,2,134.0,,Active,,,http://www.redfin.com/IL/Chicago/4826-W-Hubbard-St-60644/home/13264337,MRED,11266863,N,Y,41.8888764,-87.7467494,179900,4.0,2.0,1344.0,1905.0,168285.6262582601
309,MLS Listing,,Condo/Co-op,2320 W Moffat St #0,Chicago,IL,60647,739000,4.0,2.5,CHI - Logan Square,1950.0,,1886.0,2,379.0,,Active,,,http://www.redfin.com/IL/Chicago/2320-W-Moffat-St-60647/home/13355930,MRED,11256256,N,Y,41.9148455,-87.6857069,739000,4.0,2.5,1950.0,1886.0,444938.68268299475
310,MLS Listing,,Condo/Co-op,1728 W Farwell Ave #207,Chicago,IL,60626,210000,3.0,2.0,CHI - Rogers Park,1200.0,,1968.0,2,175.0,366.0,Active,,,http://www.redfin.com/IL/Chicago/1728-W-Farwell-Ave-60626/unit-207/home/12797147,MRED,11266841,N,Y,42.0068777,-87.6745637,210000,3.0,2.0,1200.0,1968.0,302827.0639547091
320,MLS Listing,,Townhouse,7506 N Ridge Blvd Unit F,Chicago,IL,60645,195000,3.0,1.5,CHI - West Ridge,1240.0,,1960.0,2,157.0,,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/7506-N-Ridge-Blvd-60645/unit-F/home/177153455,MRED,11266784,N,Y,42.0181449,-87.68543,195000,3.0,1.5,1240.0,1960.0,200925.1195540256
321,MLS Listing,,Townhouse,1843 N Hudson Ave,Chicago,IL,60614,899000,3.0,3.5,CHI - Lincoln Park,2400.0,,1985.0,2,375.0,549.0,Active,November-13-2021 11:30 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/1843-N-Hudson-Ave-60614/home/22780329,MRED,11266783,N,Y,41.915992,-87.639798,899000,3.0,3.5,2400.0,1985.0,1020029.5636028135
322,MLS Listing,,Single Family Residential,1635 W 88th St,Chicago,IL,60620,145000,3.0,1.5,CHI - Auburn Gresham,1528.0,5623.0,1950.0,2,95.0,,Active,,,http://www.redfin.com/IL/Chicago/1635-W-88th-St-60620/home/13101164,MRED,11266780,N,Y,41.7338155,-87.6644802,145000,3.0,1.5,1528.0,1950.0,281134.19629160454
323,MLS Listing,,Townhouse,1008 N Kingsbury St,Chicago,IL,60610,799000,3.0,3.0,River Village,2107.0,,2007.0,2,379.0,248.0,Active,November-13-2021 11:00 AM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1008-N-Kingsbury-St-60610/home/12612762,MRED,11266777,N,Y,41.8999305,-87.6452607,799000,3.0,3.0,2107.0,2007.0,846215.5321041066
324,MLS Listing,,Single Family Residential,13537 S Avenue L,Chicago,IL,60633,165000,3.0,1.0,CHI - Hegewisch,1000.0,,1920.0,2,165.0,,Active,,,http://www.redfin.com/IL/Chicago/13537-S-Ave-L-60633/home/13030965,MRED,11266768,N,Y,41.6489095,-87.5359731,165000,3.0,1.0,1000.0,1920.0,-26093.30841378821
326,MLS Listing,,Condo/Co-op,300 N State St #3507,Chicago,IL,60654,230000,1.0,1.0,CHI - Near North Side,725.0,,1962.0,2,317.0,588.0,Active,,,http://www.redfin.com/IL/Chicago/300-N-State-St-60654/unit-3507/home/14100498,MRED,11266760,N,Y,41.8883034,-87.6284665,230000,1.0,1.0,725.0,1962.0,152221.56042105472
327,MLS Listing,,Single Family Residential,640 W Belden Ave,Chicago,IL,60614,3299000,7.0,6.5,CHI - Lincoln Park,6350.0,,2021.0,2,520.0,,Active,,,http://www.redfin.com/IL/Chicago/640-W-Belden-Ave-60614/home/13351033,MRED,11266748,N,Y,41.9238972,-87.6454916,3299000,7.0,6.5,6350.0,2021.0,2512693.7889796374
329,MLS Listing,,Condo/Co-op,250 E Pearson St #1104,Chicago,IL,60611,565000,1.0,1.5,CHI - Near North Side,1144.0,,2003.0,2,494.0,715.0,Active,,,http://www.redfin.com/IL/Chicago/250-E-Pearson-St-60611/unit-1104/home/12562944,MRED,11266744,N,Y,41.8979225,-87.6193321,565000,1.0,1.5,1144.0,2003.0,437243.57551593473
330,MLS Listing,,Townhouse,436 E Oakwood Blvd,Chicago,IL,60653,390000,5.0,3.0,CHI - Grand Boulevard,3700.0,,1959.0,2,105.0,,Active,,,http://www.redfin.com/IL/Chicago/436-E-Oakwood-Blvd-60653/home/13961412,MRED,11266729,N,Y,41.8229307,-87.6153018,390000,5.0,3.0,3700.0,1959.0,1079891.6119388756
332,MLS Listing,,Single Family Residential,4511 N Drake Ave,Chicago,IL,60625,750000,4.0,3.5,CHI - Albany Park,3600.0,3550.0,2006.0,2,208.0,,Active,,,http://www.redfin.com/IL/Chicago/4511-N-Drake-Ave-60625/home/26805214,MRED,11266730,N,Y,41.9633145,-87.7164727,750000,4.0,3.5,3600.0,2006.0,1315910.5354580726
337,MLS Listing,,Condo/Co-op,3930 N Pine Grove Ave #1515,Chicago,IL,60613,239000,2.0,2.0,CHI - Lake View,1100.0,,1969.0,2,217.0,946.0,Active,,,http://www.redfin.com/IL/Chicago/3930-N-Pine-Grove-Ave-60613/unit-1515/home/13380457,MRED,11266711,N,Y,41.9542371,-87.648457,239000,2.0,2.0,1100.0,1969.0,381304.52648519166
